Network	Station	Phase	Time	Time_trunc
AZ	TRO	S	2016-06-10T12:44:08.708300	2016-06-10T12:44:08
AZ	TRO	S	2016-06-10T12:44:12.508300	2016-06-10T12:44:12
AZ	TRO	S	2016-06-10T12:46:59.108300	2016-06-10T12:46:59
AZ	TRO	P	2016-06-10T12:50:34.508300	2016-06-10T12:50:34
AZ	TRO	S	2016-06-10T12:46:59.108300	2016-06-10T12:46:59
AZ	TRO	S	2016-06-10T12:48:32.108300	2016-06-10T12:48:32
AZ	TRO	S	2016-06-10T12:50:55.008300	2016-06-10T12:50:55
AZ	TRO	S	2016-06-10T13:01:38.708300	2016-06-10T13:01:38
AZ	TRO	S	2016-06-10T13:02:13.008300	2016-06-10T13:02:13
AZ	TRO	S	2016-06-10T13:02:13.008300	2016-06-10T13:02:13
AZ	TRO	S	2016-06-10T13:03:55.908300	2016-06-10T13:03:55
AZ	TRO	S	2016-06-10T13:06:23.308300	2016-06-10T13:06:23
AZ	TRO	S	2016-06-10T13:08:29.908300	2016-06-10T13:08:29
AZ	TRO	S	2016-06-10T13:09:40.108300	2016-06-10T13:09:40
AZ	TRO	S	2016-06-10T13:16:04.908300	2016-06-10T13:16:04
AZ	TRO	S	2016-06-10T13:16:21.008300	2016-06-10T13:16:21
AZ	TRO	S	2016-06-10T13:16:53.108300	2016-06-10T13:16:53
AZ	TRO	S	2016-06-10T13:21:07.308300	2016-06-10T13:21:07
AZ	TRO	S	2016-06-10T13:22:10.408300	2016-06-10T13:22:10
AZ	TRO	S	2016-06-10T13:23:21.808300	2016-06-10T13:23:21
AZ	TRO	S	2016-06-10T13:26:20.808300	2016-06-10T13:26:20
AZ	TRO	S	2016-06-10T13:27:21.908300	2016-06-10T13:27:21
AZ	TRO	S	2016-06-10T13:27:47.008300	2016-06-10T13:27:47
AZ	TRO	S	2016-06-10T13:29:33.308300	2016-06-10T13:29:33
AZ	TRO	S	2016-06-10T13:36:38.908300	2016-06-10T13:36:38
AZ	TRO	S	2016-06-10T13:39:45.908300	2016-06-10T13:39:45
AZ	TRO	S	2016-06-10T13:51:28.208300	2016-06-10T13:51:28
AZ	TRO	S	2016-06-10T13:59:12.108300	2016-06-10T13:59:12
AZ	TRO	S	2016-06-10T14:00:35.008300	2016-06-10T14:00:35
AZ	TRO	S	2016-06-10T14:06:32.108300	2016-06-10T14:06:32
AZ	TRO	S	2016-06-10T14:06:44.108300	2016-06-10T14:06:44
AZ	TRO	S	2016-06-10T14:07:57.908300	2016-06-10T14:07:57
AZ	TRO	S	2016-06-10T14:10:22.608300	2016-06-10T14:10:22
AZ	TRO	S	2016-06-10T14:24:09.908300	2016-06-10T14:24:09
AZ	TRO	S	2016-06-10T14:31:39.508300	2016-06-10T14:31:39
AZ	TRO	S	2016-06-10T14:36:21.108300	2016-06-10T14:36:21
AZ	TRO	S	2016-06-10T14:42:45.708300	2016-06-10T14:42:45
AZ	TRO	S	2016-06-10T14:53:12.008300	2016-06-10T14:53:12
AZ	TRO	S	2016-06-10T14:55:58.608300	2016-06-10T14:55:58
AZ	TRO	S	2016-06-10T15:00:17.108300	2016-06-10T15:00:17
AZ	TRO	S	2016-06-10T15:08:38.308300	2016-06-10T15:08:38
AZ	TRO	S	2016-06-10T15:22:44.008300	2016-06-10T15:22:44
AZ	TRO	S	2016-06-10T15:24:40.908300	2016-06-10T15:24:40
AZ	TRO	S	2016-06-10T15:27:08.908300	2016-06-10T15:27:08
AZ	TRO	S	2016-06-10T15:27:25.908300	2016-06-10T15:27:25
AZ	TRO	S	2016-06-10T15:29:14.308300	2016-06-10T15:29:14
AZ	TRO	S	2016-06-10T15:29:28.008300	2016-06-10T15:29:28
AZ	TRO	S	2016-06-10T15:30:53.708300	2016-06-10T15:30:53
AZ	TRO	S	2016-06-10T15:40:28.908300	2016-06-10T15:40:28
AZ	TRO	S	2016-06-10T15:41:40.008300	2016-06-10T15:41:40
AZ	TRO	S	2016-06-10T15:41:56.508300	2016-06-10T15:41:56
AZ	TRO	S	2016-06-10T15:46:14.208300	2016-06-10T15:46:14
AZ	TRO	P	2016-06-10T16:22:02.008300	2016-06-10T16:22:02
AZ	TRO	S	2016-06-10T16:14:43.508300	2016-06-10T16:14:43
AZ	TRO	S	2016-06-10T16:15:37.208300	2016-06-10T16:15:37
AZ	TRO	S	2016-06-10T16:15:47.608300	2016-06-10T16:15:47
AZ	TRO	S	2016-06-10T16:15:50.108300	2016-06-10T16:15:50
AZ	TRO	S	2016-06-10T16:22:37.808300	2016-06-10T16:22:37
AZ	TRO	P	2016-06-10T16:22:02.008300	2016-06-10T16:22:02
AZ	TRO	P	2016-06-10T16:31:56.508300	2016-06-10T16:31:56
AZ	TRO	S	2016-06-10T16:30:42.008300	2016-06-10T16:30:42
AZ	TRO	S	2016-06-10T16:44:32.008300	2016-06-10T16:44:32
AZ	TRO	S	2016-06-10T16:47:28.508300	2016-06-10T16:47:28
AZ	TRO	S	2016-06-10T16:52:50.508300	2016-06-10T16:52:50
AZ	TRO	S	2016-06-10T16:52:50.508300	2016-06-10T16:52:50
AZ	TRO	S	2016-06-10T16:55:13.208300	2016-06-10T16:55:13
