# Network Station Phase Time Probability
AZ TRO S 2016-06-10T11:02:32.108300 0.953
AZ TRO S 2016-06-10T11:05:04.408300 0.984
AZ TRO S 2016-06-10T11:06:27.808300 0.970
AZ TRO S 2016-06-10T11:10:06.708300 0.996
AZ TRO S 2016-06-10T11:10:30.208300 0.981
AZ TRO S 2016-06-10T11:11:27.408300 0.984
AZ TRO S 2016-06-10T11:14:16.508300 0.987
AZ TRO S 2016-06-10T11:16:45.408300 0.993
AZ TRO S 2016-06-10T11:17:09.108300 0.989
AZ TRO S 2016-06-10T11:17:21.008300 0.994
AZ TRO S 2016-06-10T11:17:58.808300 0.979
AZ TRO S 2016-06-10T11:18:23.608300 0.950
AZ TRO S 2016-06-10T11:18:43.308300 0.977
AZ TRO S 2016-06-10T11:19:05.608300 0.990
AZ TRO S 2016-06-10T11:19:47.508300 0.986
AZ TRO S 2016-06-10T11:20:13.008300 0.992
AZ TRO S 2016-06-10T11:21:35.008300 0.991
AZ TRO S 2016-06-10T11:21:53.808300 0.981
AZ TRO S 2016-06-10T11:21:57.608300 0.988
AZ TRO S 2016-06-10T11:23:30.308300 0.983
AZ TRO S 2016-06-10T11:23:43.108300 0.989
AZ TRO S 2016-06-10T11:24:02.308300 0.982
AZ TRO S 2016-06-10T11:24:16.408300 0.964
AZ TRO S 2016-06-10T11:25:30.108300 0.972
AZ TRO S 2016-06-10T11:27:33.208300 0.988
AZ TRO S 2016-06-10T11:28:39.808300 0.979
AZ TRO S 2016-06-10T11:30:16.508300 0.975
AZ TRO S 2016-06-10T11:30:16.508300 0.975
AZ TRO S 2016-06-10T11:33:18.108300 0.992
AZ TRO S 2016-06-10T11:35:40.508300 0.990
AZ TRO S 2016-06-10T11:36:36.608300 0.986
AZ TRO S 2016-06-10T11:42:24.108300 0.996
AZ TRO S 2016-06-10T11:43:30.208300 0.994
AZ TRO S 2016-06-10T11:46:06.408300 0.992
AZ TRO S 2016-06-10T11:46:34.208300 0.965
AZ TRO S 2016-06-10T11:46:06.408300 0.992
AZ TRO S 2016-06-10T11:46:34.208300 0.965
AZ TRO S 2016-06-10T11:47:59.708300 0.964
AZ TRO S 2016-06-10T11:50:28.808300 0.975
AZ TRO S 2016-06-10T11:51:33.408300 0.980
AZ TRO S 2016-06-10T11:54:46.508300 0.993
AZ TRO S 2016-06-10T11:56:05.108300 0.973
AZ TRO S 2016-06-10T12:03:08.508300 0.957
AZ TRO S 2016-06-10T12:04:47.208300 0.995
AZ TRO S 2016-06-10T12:06:26.908300 0.988
AZ TRO S 2016-06-10T12:07:38.908300 0.995
AZ TRO S 2016-06-10T12:07:52.008300 0.965
AZ TRO S 2016-06-10T12:08:09.908300 0.979
AZ TRO S 2016-06-10T12:15:30.508300 0.952
AZ TRO S 2016-06-10T12:20:44.808300 0.996
AZ TRO S 2016-06-10T12:41:27.308300 0.962
AZ TRO S 2016-06-10T12:41:45.908300 0.986
AZ TRO S 2016-06-10T12:45:01.608300 0.991
AZ TRO S 2016-06-10T12:45:13.808300 0.963
AZ TRO S 2016-06-10T12:46:25.208300 0.984
AZ TRO S 2016-06-10T12:50:36.708300 0.974
AZ TRO S 2016-06-10T12:57:58.108300 0.987
AZ TRO S 2016-06-10T12:59:03.908300 0.986
AZ TRO S 2016-06-10T13:00:45.508300 0.958
AZ TRO S 2016-06-10T13:03:55.908300 0.989
AZ TRO S 2016-06-10T13:07:53.008300 0.970
AZ TRO S 2016-06-10T13:10:25.708300 0.983
AZ TRO S 2016-06-10T13:17:03.708300 0.990
AZ TRO S 2016-06-10T13:17:17.408300 0.979
AZ TRO S 2016-06-10T13:20:23.608300 0.978
AZ TRO S 2016-06-10T13:21:34.108300 0.960
AZ TRO S 2016-06-10T13:23:05.708300 0.962
AZ TRO S 2016-06-10T13:26:39.008300 0.990
AZ TRO S 2016-06-10T13:27:58.608300 0.968
AZ TRO S 2016-06-10T13:32:36.708300 0.953
AZ TRO S 2016-06-10T13:33:20.608300 0.980
AZ TRO P 2016-06-10T13:45:46.108300 0.976
AZ TRO S 2016-06-10T13:33:20.608300 0.980
AZ TRO S 2016-06-10T13:35:07.108300 0.992
AZ TRO S 2016-06-10T13:38:43.908300 0.990
AZ TRO S 2016-06-10T13:39:02.008300 0.993
AZ TRO S 2016-06-10T13:39:10.008300 0.989
AZ TRO S 2016-06-10T13:41:48.308300 0.957
AZ TRO S 2016-06-10T13:42:03.408300 0.985
AZ TRO S 2016-06-10T13:45:48.308300 0.991
AZ TRO S 2016-06-10T13:48:51.708300 0.996
